#2018.07.03  22:10:22 to 10:10:23  82526787 events /43201s, cpsMax=2111
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  22:08:42
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  21:37:51 to 21:42:51  2806776 events /300s, cpsMax=9586
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  21:30:14 to 21:35:14  1684998 events /301s, cpsMax=5841
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  21:26:41
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:56:03 to 16:56:04  1410444 events /3601s, cpsMax=479
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:55:35
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:54:36
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:50:21 to 15:50:31  3969 events /10s, cpsMax=440
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:48:37 to 15:48:47  138 events /10s, cpsMax=14
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:46:52 to 15:47:02  137 events /10s, cpsMax=14
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:46:29 to 15:46:40  148 events /11s, cpsMax=14
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:43:13 to 15:43:23  3213 events /10s, cpsMax=344
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:41:43 to 15:41:53  1323 events /11s, cpsMax=144
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:40:39 to 15:40:49  139 events /10s, cpsMax=15
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:39:41 to 15:39:51  3402 events /10s, cpsMax=348
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:35:26 to 15:35:36  139 events /10s, cpsMax=14
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:35:02 to 15:35:13  140 events /10s, cpsMax=14
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:33:35 to 15:33:46  1127 events /11s, cpsMax=112
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:31:54 to 15:32:05  833 events /11s, cpsMax=97
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:24:42 to 15:24:53  138 events /10s, cpsMax=15 to 15:24:53  149 events /11s, cpsMax=15
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:15:07 to 15:15:17  194 events /10s, cpsMax=35
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtBtoA= 0.00 tol=1.00 path=53.000 twoTh=175.15 dTwoTh=-3.12  tofMin=0.000 #tofMax=500.000
#2018.07.03  15:15:00
#TrigA=4 Offs= 0.00 Dly= 0.0  TrigB=4 dtB
  0.072     49
  0.216     50
  0.360     55
  0.504     38
  0.648     47
  0.792     52
  0.936     88
  1.080    105
  1.224    159
  1.368    188
  1.512    217
  1.656    255
  1.800    297
  1.944    278
  2.088    293
  2.232    307
  2.376    318
  2.520    270
  2.664    276
  2.808    285
  2.952    271
  3.096    268
  3.240    257
  3.384    269
  3.528    238
  3.672    241
  3.816    225
  3.960    198
  4.104    178
  4.248    186
  4.392    185
  4.536    175
  4.680    168
  4.824    150
  4.968    146
  5.112    134
  5.256    127
  5.400    127
  5.544    118
  5.688     99
  5.832     83
  5.976    105
  6.120     71
  6.264     70
  6.408     71
  6.552     63
  6.696     52
  6.840     53
  6.984     30
  7.128     42
  7.272     25
  7.416     23
  7.560     31
  7.704     20
  7.848     33
  7.992     22
  8.136     30
  8.280     23
  8.424     24
  8.568     26
  8.712     19
  8.856     19
  9.000     32
  9.144     35
  9.288     39
  9.432     52
  9.576     44
  9.720     51
  9.864     46
 10.008     40
 10.152     61
 10.296     47
 10.440     43
 10.584     53
 10.728     44
 10.872     41
 11.016     39
 11.160     43
 11.304     45
 11.448     48
 11.592     40
 11.736     35
 11.880     23
 12.024     33
 12.168     37
 12.312     29
 12.456     37
 12.600     46
 12.744     37
 12.888     34
 13.032     42
 13.176     28
 13.320     37
 13.464     31
 13.608     49
 13.752     33
 13.896     30
 14.040     76
 14.184    108
 14.328    263
 14.472    468
 14.616    615
 14.760    799
 14.904    979
 15.048   1384
 15.192   2092
 15.336   4605
 15.480  14515
 15.624  31898
 15.768  55678
 15.912 110586
 16.056 173988
 16.200 203308
 16.344 220177
 16.488 237188
 16.632 251930
 16.776 265450
 16.920 275297
 17.064 283591
 17.208 290792
 17.352 298297
 17.496 304773
 17.640 308415
 17.784 316404
 17.928 335603
 18.072 348821
 18.216 352418
 18.360 356925
 18.504 362326
 18.648 368534
 18.792 372820
 18.936 377010
 19.080 381164
 19.224 384589
 19.368 388389
 19.512 390970
 19.656 392014
 19.800 395681
 19.944 411978
 20.088 418270
 20.232 419700
 20.376 418461
 20.520 415063
 20.664 409804
 20.808 402699
 20.952 394586
 21.096 382172
 21.240 371009
 21.384 355446
 21.528 340700
 21.672 326260
 21.816 311988
 21.960 299366
 22.104 286534
 22.248 272164
 22.392 256422
 22.536 236276
 22.680 212481
 22.824 184259
 22.968 144807
 23.112  96568
 23.256  51794
 23.400  18206
 23.544   3902
 23.688   1603
 23.832   1192
 23.976   1359
 24.120   1669
 24.264   4308
 24.408  15675
 24.552  40978
 24.696  76904
 24.840 117187
 24.984 185638
 25.128 305662
 25.272 379386
 25.416 394437
 25.560 401729
 25.704 409270
 25.848 413247
 25.992 419252
 26.136 422441
 26.280 421749
 26.424 422483
 26.568 422992
 26.712 422721
 26.856 420799
 27.000 418868
 27.144 416253
 27.288 413921
 27.432 409710
 27.576 405878
 27.720 402542
 27.864 406110
 28.008 432264
 28.152 453922
 28.296 456260
 28.440 458234
 28.584 459256
 28.728 460038
 28.872 462883
 29.016 462104
 29.160 460304
 29.304 459551
 29.448 455657
 29.592 451980
 29.736 444387
 29.880 435916
 30.024 425364
 30.168 412485
 30.312 397787
 30.456 383255
 30.600 368867
 30.744 355965
 30.888 349905
 31.032 352572
 31.176 341180
 31.320 322026
 31.464 299746
 31.608 273030
 31.752 240687
 31.896 199380
 32.040 149625
 32.184  99254
 32.328  56139
 32.472  20180
 32.616   5430
 32.760   3288
 32.904   2833
 33.048   5140
 33.192  38411
 33.336 121422
 33.480 174101
 33.624 192444
 33.768 202584
 33.912 211980
 34.056 269459
 34.200 382181
 34.344 451007
 34.488 466808
 34.632 472161
 34.776 476453
 34.920 479436
 35.064 480339
 35.208 479653
 35.352 478843
 35.496 477364
 35.640 474550
 35.784 472101
 35.928 469317
 36.072 465273
 36.216 462246
 36.360 458847
 36.504 455442
 36.648 453745
 36.792 448984
 36.936 446964
 37.080 443957
 37.224 438066
 37.368 434966
 37.512 429821
 37.656 423794
 37.800 417079
 37.944 408569
 38.088 400361
 38.232 388880
 38.376 376883
 38.520 362021
 38.664 347709
 38.808 331880
 38.952 316422
 39.096 301567
 39.240 285426
 39.384 266349
 39.528 249752
 39.672 234660
 39.816 214490
 39.960 191955
 40.104 165310
 40.248 122647
 40.392  55253
 40.536  14484
 40.680   6845
 40.824   4419
 40.968   5145
 41.112  33695
 41.256  96617
 41.400 136372
 41.544 151960
 41.688 160707
 41.832 170440
 41.976 210498
 42.120 288978
 42.264 344658
 42.408 357674
 42.552 359700
 42.696 361263
 42.840 361918
 42.984 361717
 43.128 359713
 43.272 358048
 43.416 356438
 43.560 354601
 43.704 352013
 43.848 349905
 43.992 348300
 44.136 344103
 44.280 341515
 44.424 338683
 44.568 336910
 44.712 333162
 44.856 328337
 45.000 326296
 45.144 321118
 45.288 316921
 45.432 311927
 45.576 304871
 45.720 298401
 45.864 289838
 46.008 280033
 46.152 270091
 46.296 258640
 46.440 245519
 46.584 222714
 46.728 196843
 46.872 177848
 47.016 162141
 47.160 145932
 47.304 128113
 47.448 107520
 47.592  75250
 47.736  31812
 47.880   8871
 48.024   4123
 48.168   2758
 48.312   1854
 48.456   3909
 48.600  26430
 48.744  71015
 48.888 102745
 49.032 114285
 49.176 123057
 49.320 131379
 49.464 156622
 49.608 207300
 49.752 251452
 49.896 267025
 50.040 269291
 50.184 268944
 50.328 268363
 50.472 268382
 50.616 267413
 50.760 266349
 50.904 264928
 51.048 262576
 51.192 260722
 51.336 258296
 51.480 255916
 51.624 253675
 51.768 249996
 51.912 247567
 52.056 244321
 52.200 240436
 52.344 236704
 52.488 232413
 52.632 228554
 52.776 223819
 52.920 216846
 53.064 208468
 53.208 197567
 53.352 182220
 53.496 165239
 53.640 146078
 53.784 125410
 53.928 109976
 54.072  99584
 54.216  88554
 54.360  76544
 54.504  63382
 54.648  44033
 54.792  18426
 54.936   4843
 55.080   1939
 55.224   1315
